"","Receiver","ID","LatR","LongR","Lat","Long","dist"
"1","LJK20",120262,32.79631,-117.27438,32.7969,-117.27686,241.33361766836
"2","LJK20",120262,32.79631,-117.27438,32.79689,-117.27692,246.456093777629
"3","LJK20",120262,32.79631,-117.27438,32.7969,-117.27694,248.554615227846
"4","LJK20",120262,32.79631,-117.27438,32.79689,-117.27703,256.416472019613
"5","LJK20",120262,32.79631,-117.27438,32.79688,-117.27709,261.590403089087
"6","LJK20",120262,32.79631,-117.27438,32.79688,-117.27715,267.047321205889
"7","LJK20",120262,32.79631,-117.27438,32.79688,-117.2772,271.599834483465
"8","LJK20",120262,32.79631,-117.27438,32.79688,-117.27726,277.068607578693
"9","LJK20",120262,32.79631,-117.27438,32.79687,-117.27731,281.383635078903
"10","LJK20",120262,32.79631,-117.27438,32.79686,-117.27737,286.629715832392
"11","LJK20",120262,32.79631,-117.27438,32.79685,-117.27744,292.810740746078
"12","LJK20",120262,32.79631,-117.27438,32.79684,-117.2775,298.09354540264
"13","LJK20",120262,32.79631,-117.27438,32.79681,-117.27756,302.978784619331
"14","LJK20",120262,32.79631,-117.27438,32.7968,-117.27763,309.230266709982
"15","LJK20",120262,32.79631,-117.27438,32.79679,-117.27766,311.805711761711
"16","LJK20",120262,32.79631,-117.27438,32.79679,-117.27773,318.268119313515
"17","LJK20",120262,32.79631,-117.27438,32.79676,-117.27777,321.429355351889
"18","LJK20",120262,32.79631,-117.27438,32.79676,-117.2778,324.205587013814
"19","LJK20",120262,32.79631,-117.27438,32.79673,-117.27779,322.783303442761
"20","LJK20",120262,32.79631,-117.27438,32.79671,-117.27786,328.966344980647
"21","LJK20",120262,32.79631,-117.27438,32.79671,-117.2779,332.679193656311
"22","LJK20",120262,32.79631,-117.27438,32.79672,-117.27794,336.540815351794
"23","LJK20",120262,32.79631,-117.27438,32.79673,-117.27798,340.403480375378
"24","LJK20",120262,32.79631,-117.27438,32.79672,-117.27802,343.9669692187
"25","LJK20",120262,32.79631,-117.27438,32.79673,-117.27806,347.82788130426
"26","LJK20",120262,32.79631,-117.27438,32.79673,-117.27813,354.326614121274
